# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
16388.7,257.0,-77.4766,-77.2792
16480.5,252.0,-77.4744,-77.2798
16480.5,252.0,-77.4744,-77.2798
16518.2,251.0,-77.4734,-77.2801
16572.6,248.0,-77.4721,-77.2805
16664.9,251.0,-77.4698,-77.2811
16755.2,252.0,-77.4676,-77.2818
16755.2,252.0,-77.4676,-77.2818
16793.0,249.0,-77.4666,-77.2821
16851.8,245.0,-77.4652,-77.2825
16889.5,242.0,-77.4643,-77.2827
16942.1,238.0,-77.463,-77.2831
16942.1,238.0,-77.463,-77.2831
16979.9,239.0,-77.462,-77.2834
17038.6,239.0,-77.4606,-77.2838
17038.6,239.0,-77.4606,-77.2838
17077.2,238.0,-77.4597,-77.2841
17131.8,237.0,-77.4583,-77.2845
17131.8,237.0,-77.4583,-77.2845
17170.5,234.0,-77.4574,-77.2848
17225.4,230.0,-77.456,-77.2852
17225.4,230.0,-77.456,-77.2852
17319.5,227.0,-77.4537,-77.2858
17319.5,227.0,-77.4537,-77.2858
17415.9,228.0,-77.4513,-77.2865
17504.6,223.0,-77.4491,-77.2872
17504.6,223.0,-77.4491,-77.2872
17602.1,208.0,-77.4467,-77.2879
17602.1,208.0,-77.4467,-77.2879
17639.0,212.0,-77.4458,-77.2881
17694.9,219.0,-77.4444,-77.2885
17791.8,218.0,-77.442,-77.2892
17901.9,207.0,-77.4392,-77.29
17901.9,207.0,-77.4392,-77.29
17966.9,203.0,-77.4375,-77.2905
17994.9,201.0,-77.4368,-77.2906
17994.9,201.0,-77.4368,-77.2906
18087.9,199.0,-77.4345,-77.2913
18087.9,199.0,-77.4345,-77.2913
18125.8,197.0,-77.4336,-77.2916
18183.7,194.0,-77.4321,-77.292
18183.7,194.0,-77.4321,-77.292
18277.3,185.0,-77.4298,-77.2927
18277.3,185.0,-77.4298,-77.2927
18311.4,181.0,-77.4289,-77.2929
18370.0,175.0,-77.4275,-77.2933
18408.0,171.0,-77.4265,-77.2936
18462.8,165.0,-77.4252,-77.294
18559.8,162.0,-77.4227,-77.2947
18597.8,158.0,-77.4218,-77.2949
18656.7,151.0,-77.4203,-77.2954
18656.7,151.0,-77.4203,-77.2954
18769.9,146.0,-77.4175,-77.2962
18808.1,145.0,-77.4165,-77.2964
18864.3,142.0,-77.4151,-77.2968
18963.7,132.0,-77.4127,-77.2976
18963.7,132.0,-77.4127,-77.2976
19003.7,129.0,-77.4117,-77.2978
19076.7,122.0,-77.4099,-77.2984
19076.7,122.0,-77.4099,-77.2984
19113.6,121.0,-77.4089,-77.2986
19193.9,118.0,-77.4069,-77.2992
19193.9,118.0,-77.4069,-77.2992
19287.3,113.0,-77.4046,-77.2999
19287.3,113.0,-77.4046,-77.2999
19380.3,103.0,-77.4022,-77.3005
19380.3,103.0,-77.4022,-77.3005
19475.3,98.0,-77.3998,-77.3012
19588.6,87.0,-77.3969,-77.302
19588.6,87.0,-77.3969,-77.302
19626.7,82.0,-77.396,-77.3022
19682.3,73.0,-77.3946,-77.3026
19720.8,67.0,-77.3936,-77.3029
19779.6,58.0,-77.392,-77.3033
19873.6,45.0,-77.3896,-77.304
19911.3,44.0,-77.3886,-77.3042
20004.3,42.0,-77.3862,-77.3049
20004.3,42.0,-77.3862,-77.3049
20103.8,42.0,-77.3837,-77.3056
20205.9,43.0,-77.381,-77.3063
20205.9,43.0,-77.381,-77.3063
20307.2,44.0,-77.3784,-77.307
20307.2,44.0,-77.3784,-77.307
20346.2,41.0,-77.3773,-77.3073
20409.6,34.0,-77.3757,-77.3077
20409.6,34.0,-77.3757,-77.3077
20514.8,25.0,-77.373,-77.3084
20514.8,25.0,-77.373,-77.3084
20556.8,22.0,-77.3718,-77.3087
20619.3,17.0,-77.3702,-77.3092
20619.3,17.0,-77.3702,-77.3092
20722.8,8.0,-77.3675,-77.3099
20722.8,8.0,-77.3675,-77.3099
20823.3,-1.0,-77.3648,-77.3106
20864.5,-4.0,-77.3637,-77.3108
20927.1,-9.0,-77.362,-77.3113
21026.6,-16.0,-77.3593,-77.3119
21026.6,-16.0,-77.3593,-77.3119
21129.7,-22.0,-77.3565,-77.3126
21171.5,-25.0,-77.3554,-77.3129
21234.0,-29.0,-77.3537,-77.3133
21339.2,-29.0,-77.3508,-77.314
21339.2,-29.0,-77.3508,-77.314
21381.0,-30.0,-77.3497,-77.3143
21443.8,-29.0,-77.348,-77.3147
21443.8,-29.0,-77.348,-77.3147
21549.2,-32.0,-77.3451,-77.3154
21549.2,-32.0,-77.3451,-77.3154
21651.8,-32.0,-77.3423,-77.3161
21651.8,-32.0,-77.3423,-77.3161
21757.9,-39.0,-77.3394,-77.3168
21757.9,-39.0,-77.3394,-77.3168
21864.2,-43.0,-77.3365,-77.3176
21864.2,-43.0,-77.3365,-77.3176
21970.4,-42.0,-77.3336,-77.3183
22076.8,-48.0,-77.3307,-77.319
22182.2,-54.0,-77.3278,-77.3197
22182.2,-54.0,-77.3278,-77.3197
22288.4,-65.0,-77.3248,-77.3204
22394.3,-62.0,-77.3218,-77.3211
22394.3,-62.0,-77.3218,-77.3211
22500.8,-67.0,-77.3188,-77.3218
22606.5,-90.0,-77.3157,-77.3224
22712.8,-104.0,-77.3126,-77.3231
22712.8,-104.0,-77.3126,-77.3231
22818.9,-110.0,-77.3095,-77.3238
22818.9,-110.0,-77.3095,-77.3238
22922.1,-120.0,-77.3064,-77.3244
22922.1,-120.0,-77.3064,-77.3244
23025.2,-129.0,-77.3033,-77.325
23025.2,-129.0,-77.3033,-77.325
23131.3,-151.0,-77.3002,-77.3257
23131.3,-151.0,-77.3002,-77.3257
23238.5,-160.0,-77.297,-77.3264
23238.5,-160.0,-77.297,-77.3264
23344.5,-154.0,-77.2939,-77.327
23450.7,-158.0,-77.2908,-77.3277
23450.7,-158.0,-77.2908,-77.3277
23557.0,-160.0,-77.2877,-77.3284
23663.0,-150.0,-77.2847,-77.329
23663.0,-150.0,-77.2847,-77.329
23764.4,-162.0,-77.2818,-77.3297
23886.0,-168.0,-77.2784,-77.3305
23988.9,-166.0,-77.2756,-77.3312
23988.9,-166.0,-77.2756,-77.3312
24091.1,-179.0,-77.2728,-77.3319
24192.0,-189.0,-77.27,-77.3325
24192.0,-189.0,-77.27,-77.3325
24289.2,-190.0,-77.2673,-77.3332
24402.8,-172.0,-77.2642,-77.334
24402.8,-172.0,-77.2642,-77.334
24509.6,-174.0,-77.2613,-77.3347
24509.6,-174.0,-77.2613,-77.3347
24609.9,-179.0,-77.2586,-77.3354
24609.9,-179.0,-77.2586,-77.3354
24710.5,-171.0,-77.2559,-77.336
24710.5,-171.0,-77.2559,-77.336
24812.6,-169.0,-77.2532,-77.3368
24910.7,-168.0,-77.2507,-77.3374
24910.7,-168.0,-77.2507,-77.3374
25013.5,-168.0,-77.248,-77.3382
25113.3,-164.0,-77.2455,-77.3388
25209.8,-167.0,-77.243,-77.3395
25209.8,-167.0,-77.243,-77.3395
25310.3,-170.0,-77.2405,-77.3402
25403.6,-168.0,-77.2381,-77.3409
25403.6,-168.0,-77.2381,-77.3409
25499.8,-167.0,-77.2357,-77.3416
25613.7,-168.0,-77.2328,-77.3424
25613.7,-168.0,-77.2328,-77.3424
25705.2,-158.0,-77.2305,-77.343
25800.2,-162.0,-77.2281,-77.3437
25800.2,-162.0,-77.2281,-77.3437
25887.8,-156.0,-77.226,-77.3444
25887.8,-156.0,-77.226,-77.3444
25981.3,-165.0,-77.2237,-77.345
